"SECCION","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"1",161,204,282,0,16,663,2377,24.28,30.77,42.53,0,2.41,27.89,72.11,"MIGUEL_BARBOSA",42.53,"3"
"10",89,211,250,0,8,558,2494,15.95,37.81,44.8,0,1.43,22.37,77.63,"MIGUEL_BARBOSA",44.8,"3"
"100",22,107,328,0,9,466,1340,4.72,22.96,70.39,0,1.93,34.78,65.22,"MIGUEL_BARBOSA",70.39,"3"
"1000",48,641,208,2,13,912,1715,5.26,70.29,22.81,0.22,1.43,53.18,46.82,"ENRIQUE_CARDENAS",70.29,"2"
"1001",60,258,208,0,15,541,1420,11.09,47.69,38.45,0,2.77,38.1,61.9,"ENRIQUE_CARDENAS",47.69,"2"
"1002",89,429,307,0,17,842,2308,10.57,50.95,36.46,0,2.02,36.48,63.52,"ENRIQUE_CARDENAS",50.95,"2"
"1003",67,276,198,2,19,562,1664,11.92,49.11,35.23,0.36,3.38,33.77,66.23,"ENRIQUE_CARDENAS",49.11,"2"
"1004",74,352,242,4,23,695,1935,10.65,50.65,34.82,0.58,3.31,35.92,64.08,"ENRIQUE_CARDENAS",50.65,"2"
"1005",57,649,206,3,26,941,1887,6.06,68.97,21.89,0.32,2.76,49.87,50.13,"ENRIQUE_CARDENAS",68.97,"2"
"1006",43,444,132,0,8,627,1344,6.86,70.81,21.05,0,1.28,46.65,53.35,"ENRIQUE_CARDENAS",70.81,"2"
"1007",48,186,202,0,13,449,1501,10.69,41.43,44.99,0,2.9,29.91,70.09,"MIGUEL_BARBOSA",44.99,"3"
"1008",100,470,333,0,34,937,3724,10.67,50.16,35.54,0,3.63,25.16,74.84,"ENRIQUE_CARDENAS",50.16,"2"
"1009",28,584,184,0,11,807,1564,3.47,72.37,22.8,0,1.36,51.6,48.4,"ENRIQUE_CARDENAS",72.37,"2"
"101",74,119,300,0,22,515,1137,14.37,23.11,58.25,0,4.27,45.29,54.71,"MIGUEL_BARBOSA",58.25,"3"
"1010",71,551,175,0,14,811,1770,8.75,67.94,21.58,0,1.73,45.82,54.18,"ENRIQUE_CARDENAS",67.94,"2"
