"MUNICIPIO","ENRIQUE_CARDENAS_SANCHEZ","ALBERTO_JIMENEZ_MERINO","MIGUEL_BARBOSA_HUERTA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","ecs_porc","ajm_porc","mbh_porc","no_reg_porc","nulos_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"001",2918,3733,3689,6,295,10641,45097,27.42,35.08,34.67,0.06,2.77,23.6,"ALBERTO_JIMENEZ_MERINO",35.08,"3"
"002",224,502,2285,4,90,3105,6978,7.21,16.17,73.59,0.13,2.9,44.5,"MIGUEL_BARBOSA_HUERTA",73.59,"1"
"003",1207,1671,4272,7,203,7360,27749,16.4,22.7,58.04,0.1,2.76,26.52,"MIGUEL_BARBOSA_HUERTA",58.04,"1"
"004",2866,2512,3229,22,221,8850,37475,32.38,28.38,36.49,0.25,2.5,23.62,"MIGUEL_BARBOSA_HUERTA",36.49,"1"
"005",98,282,729,0,54,1163,2333,8.43,24.25,62.68,0,4.64,49.85,"MIGUEL_BARBOSA_HUERTA",62.68,"1"
"006",503,1510,1899,2,198,4112,10356,12.23,36.72,46.18,0.05,4.82,39.71,"MIGUEL_BARBOSA_HUERTA",46.18,"1"
"007",80,525,349,0,21,975,2543,8.21,53.85,35.79,0,2.15,38.34,"ALBERTO_JIMENEZ_MERINO",53.85,"3"
"008",641,1258,1454,1,185,3539,5275,18.11,35.55,41.09,0.03,5.23,67.09,"MIGUEL_BARBOSA_HUERTA",41.09,"1"
"009",19,48,401,0,10,478,1822,3.97,10.04,83.89,0,2.09,26.23,"MIGUEL_BARBOSA_HUERTA",83.89,"1"
"010",3992,1631,9865,5,788,16281,43037,24.52,10.02,60.59,0.03,4.84,37.83,"MIGUEL_BARBOSA_HUERTA",60.59,"1"
"011",54,270,255,1,12,592,1434,9.12,45.61,43.07,0.17,2.03,41.28,"ALBERTO_JIMENEZ_MERINO",45.61,"3"
"012",473,309,725,0,41,1548,4904,30.56,19.96,46.83,0,2.65,31.57,"MIGUEL_BARBOSA_HUERTA",46.83,"1"
"013",548,280,1764,1,40,2633,13741,20.81,10.63,67,0.04,1.52,19.16,"MIGUEL_BARBOSA_HUERTA",67,"1"
"014",120,253,1202,0,85,1660,3522,7.23,15.24,72.41,0,5.12,47.13,"MIGUEL_BARBOSA_HUERTA",72.41,"1"
"015",7421,2678,6585,21,588,17293,70815,42.91,15.49,38.08,0.12,3.4,24.42,"ENRIQUE_CARDENAS_SANCHEZ",42.91,"2"
"016",255,1503,850,2,177,2787,6061,9.15,53.93,30.5,0.07,6.35,45.98,"ALBERTO_JIMENEZ_MERINO",53.93,"3"
"017",735,2898,3342,4,363,7342,18539,10.01,39.47,45.52,0.05,4.94,39.6,"MIGUEL_BARBOSA_HUERTA",45.52,"1"
"018",265,502,382,0,32,1181,2764,22.44,42.51,32.35,0,2.71,42.73,"ALBERTO_JIMENEZ_MERINO",42.51,"3"
"019",12703,4846,12087,38,1054,30728,103532,41.34,15.77,39.34,0.12,3.43,29.68,"ENRIQUE_CARDENAS_SANCHEZ",41.34,"2"
"020",318,484,744,0,29,1575,5021,20.19,30.73,47.24,0,1.84,31.37,"MIGUEL_BARBOSA_HUERTA",47.24,"1"
"021",35,29,333,0,11,408,1070,8.58,7.11,81.62,0,2.7,38.13,"MIGUEL_BARBOSA_HUERTA",81.62,"1"
"022",730,494,3299,0,131,4654,9228,15.69,10.61,70.89,0,2.81,50.43,"MIGUEL_BARBOSA_HUERTA",70.89,"1"
"023",196,410,1355,4,70,2035,6322,9.63,20.15,66.58,0.2,3.44,32.19,"MIGUEL_BARBOSA_HUERTA",66.58,"1"
"024",30,26,139,1,5,201,1063,14.93,12.94,69.15,0.5,2.49,18.91,"MIGUEL_BARBOSA_HUERTA",69.15,"1"
"025",246,1059,847,2,75,2229,5979,11.04,47.51,38,0.09,3.36,37.28,"ALBERTO_JIMENEZ_MERINO",47.51,"3"
"026",854,1531,869,1,143,3398,10695,25.13,45.06,25.57,0.03,4.21,31.77,"ALBERTO_JIMENEZ_MERINO",45.06,"3"
