"ID_MUNICIPIO","MUNICIPIO","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"001","ACAJETE",3724,2917,3675,6,303,10625,45097,35.05,27.45,34.59,0.06,2.85,23.56,76.44,"ALBERTO_JIMENEZ",35.05,"1"
"002","ACATENO",503,226,2335,4,87,3155,6978,15.94,7.16,74.01,0.13,2.76,45.21,54.79,"MIGUEL_BARBOSA",74.01,"3"
"003","ACATLAN",1777,1246,4455,6,215,7699,28427,23.08,16.18,57.86,0.08,2.79,27.08,72.92,"MIGUEL_BARBOSA",57.86,"3"
"004","ACATZINGO",2558,2778,3106,20,229,8691,37475,29.43,31.96,35.74,0.23,2.63,23.19,76.81,"MIGUEL_BARBOSA",35.74,"3"
"005","ACTEOPAN",283,98,729,0,54,1164,2333,24.31,8.42,62.63,0,4.64,49.89,50.11,"MIGUEL_BARBOSA",62.63,"3"
"006","AHUACATLAN",1509,512,1899,2,198,4120,10356,36.63,12.43,46.09,0.05,4.81,39.78,60.22,"MIGUEL_BARBOSA",46.09,"3"
"007","AHUATLAN",525,78,349,0,22,974,2543,53.9,8.01,35.83,0,2.26,38.3,61.7,"ALBERTO_JIMENEZ",53.9,"1"
"008","AHUAZOTEPEC",1742,940,2188,5,299,5174,7675,33.67,18.17,42.29,0.1,5.78,67.41,32.59,"MIGUEL_BARBOSA",42.29,"3"
"009","AHUEHUETITLA",48,19,401,0,10,478,1822,10.04,3.97,83.89,0,2.09,26.23,73.77,"MIGUEL_BARBOSA",83.89,"3"
"010","AJALPAN",1625,3988,9869,4,805,16291,43037,9.97,24.48,60.58,0.02,4.94,37.85,62.15,"MIGUEL_BARBOSA",60.58,"3"
"011","ALBINO ZERTUCHE",270,53,257,0,11,591,1434,45.69,8.97,43.49,0,1.86,41.21,58.79,"ALBERTO_JIMENEZ",45.69,"1"
"012","ALJOJUCA",309,473,725,0,41,1548,4904,19.96,30.56,46.83,0,2.65,31.57,68.43,"MIGUEL_BARBOSA",46.83,"3"
"013","ALTEPEXI",279,548,1774,1,41,2643,13741,10.56,20.73,67.12,0.04,1.55,19.23,80.77,"MIGUEL_BARBOSA",67.12,"3"
"014","AMIXTLAN",252,120,1201,0,85,1658,3522,15.2,7.24,72.44,0,5.13,47.08,52.92,"MIGUEL_BARBOSA",72.44,"3"
"015","AMOZOC",2676,7424,6564,17,593,17274,70815,15.49,42.98,38,0.1,3.43,24.39,75.61,"ENRIQUE_CARDENAS",42.98,"2"
"016","AQUIXTLA",1499,257,832,2,159,2749,6061,54.53,9.35,30.27,0.07,5.78,45.36,54.64,"ALBERTO_JIMENEZ",54.53,"1"
