"SECCION","ALBERTO_JIMENEZ","ENRIQUE_CARDENAS","MIGUEL_BARBOSA","NO_REGISTRADOS","NULOS","TOTAL_VOTOS","LISTA_NOMINAL","aj_porc","ec_porc","mb_porc","no_reg_porc","nulos_porc","parti_porc","abst_porc","GANADOR","PORC_GANADOR","CVE_GANADOR"
"1",161,203,283,0,17,664,2377,24.25,30.57,42.62,0,2.56,27.93,72.07,"MIGUEL_BARBOSA",42.62,"3"
"10",89,211,251,0,8,559,2494,15.92,37.75,44.9,0,1.43,22.41,77.59,"MIGUEL_BARBOSA",44.9,"3"
"100",22,107,328,0,9,466,1340,4.72,22.96,70.39,0,1.93,34.78,65.22,"MIGUEL_BARBOSA",70.39,"3"
"1000",48,641,208,2,13,912,1715,5.26,70.29,22.81,0.22,1.43,53.18,46.82,"ENRIQUE_CARDENAS",70.29,"2"
"1001",60,259,210,0,15,544,1420,11.03,47.61,38.6,0,2.76,38.31,61.69,"ENRIQUE_CARDENAS",47.61,"2"
"1002",89,429,307,0,17,842,2308,10.57,50.95,36.46,0,2.02,36.48,63.52,"ENRIQUE_CARDENAS",50.95,"2"
"1003",67,276,199,2,19,563,1664,11.9,49.02,35.35,0.36,3.37,33.83,66.17,"ENRIQUE_CARDENAS",49.02,"2"
"1004",74,352,242,4,23,695,1935,10.65,50.65,34.82,0.58,3.31,35.92,64.08,"ENRIQUE_CARDENAS",50.65,"2"
"1005",57,649,206,3,26,941,1887,6.06,68.97,21.89,0.32,2.76,49.87,50.13,"ENRIQUE_CARDENAS",68.97,"2"
"1006",43,443,132,0,8,626,1344,6.87,70.77,21.09,0,1.28,46.58,53.42,"ENRIQUE_CARDENAS",70.77,"2"
"1007",48,186,202,0,13,449,1501,10.69,41.43,44.99,0,2.9,29.91,70.09,"MIGUEL_BARBOSA",44.99,"3"
"1008",110,480,333,0,34,957,3724,11.49,50.16,34.8,0,3.55,25.7,74.3,"ENRIQUE_CARDENAS",50.16,"2"
"1009",28,585,184,0,11,808,1564,3.47,72.4,22.77,0,1.36,51.66,48.34,"ENRIQUE_CARDENAS",72.4,"2"
"101",75,118,300,0,32,525,1137,14.29,22.48,57.14,0,6.1,46.17,53.83,"MIGUEL_BARBOSA",57.14,"3"
"1010",72,551,176,0,14,813,1770,8.86,67.77,21.65,0,1.72,45.93,54.07,"ENRIQUE_CARDENAS",67.77,"2"
